"","participant","protocol","trial","trajectory_id","practice_trials.thisN","noise_present","no_targets","trials.thisN","mouse.x.firstBadClick","mouse.y.firstBadClick","mouse.x","mouse.y","obj0finalX","obj0finalY","obj0penultimateX","obj0penultimateY","obj0preantepenultimateY","obj0preantepenultimateX","obj0antepenultimateX","obj0antepenultimateY","timingHiccupsInLastFramesOfStimuli","win.nDroppedFrames","finalStimFrameTimes","RT","anyHiccupsLastFrames","avgDurLastFrames","dx","dy","finalDirection","finalSpeed","xErr","yErr","euclidean_dist","amountExtrapolation","temporal_error","isOutlier","eccentricity","eccentricity_deg","velocityToFovea"
"2686","P4",2,156,744,NA,"Dynamic","4",55,"nan","nan",512,185,513.81212441145,263.385740392218,514.875101386883,269.409429660328,283.116563799461,517.293945942196,516.077318707993,276.22216760525,2,47,"[16.26210008 16.87009982 16.95780014 16.46850002 17.9992998  15.24650003
 17.51930011 17.43649994 15.17080003 17.50770002 18.4402999  13.84710008
 17.32690004 18.40519998 14.36819998 17.63319992 17.45579997 15.00830008
 16.23820001 17.10700011 16.95810002 16.4222999  18.00059993 15.2247001
 17.49220002 17.50129997 15.05489997 16.26339997 17.08519994 16.9073001
 16.39840007 17.99499989 15.27680014 17.50059985 17.46809995 15.0599
 17.50440011 17.45090005 15.10600001 17.5224999 ]",4.21906463988125,TRUE,16.68653499875,-3.48182153074549,-19.730823407243,-100.007730619982,400.236478342482,-1.81212441145044,-78.3857403922185,1.88176041536378,1.86019105228798,0.193655413002299,FALSE,577.386306933378,13.8572713664011,-5.79719668716056
"2687","P4",2,157,232,NA,"Dynamic","4",56,"nan","nan",523,-247,361.00502118231,-148.504307210321,355.588416815143,-152.720400410504,-160.68739430973,345.352861788549,351.119144457793,-156.199123890811,1,48,"[17.5224999  15.22279996 16.36909996 17.0729002  16.96319995 16.40249998
 18.01649993 14.93720012 16.99879998 18.03259994 15.27570002 16.26789989
 17.16030017 16.95799991 16.31979994 18.02080008 14.92640004 17.08439994
 18.00450007 14.87910002 17.11439993 17.79230009 15.53749992 16.20110008
 16.83079987 16.9247     16.19890006 17.19180006 16.97469992 16.37910004
 18.00059993 14.94030003 16.99779998 18.07620004 15.24379989 16.97
 18.42470001 14.20580014 16.95349999 18.12779997]",4.65277714002877,TRUE,16.68801999875,15.6521593937604,12.183087099409,37.8959277737888,396.187604824271,161.99497881769,-98.4956927896794,4.55012243838684,1.61605943192094,0.169959405199562,FALSE,390.356445545423,9.36855469309016,4.7627463030071
"2688","P4",2,159,202,NA,"Dynamic","1",58,"nan","nan",371,-415,307.81313417564,-393.839386784355,305.913963739292,-387.40751668247,-374.625949213707,302.139886420823,304.030108108401,-381.027512825683,0,48,"[16.634      16.68710005 16.69449988 16.69900003 16.64320007 16.60469989
 16.69690013 16.65610005 16.65089978 16.70490019 16.68729982 16.64420008
 16.64789999 16.71839994 16.6476001  16.77750004 16.58709999 16.59629983
 16.73580008 16.57470013 16.76269993 16.60940005 16.70589997 16.68270002
 16.65610005 16.63249987 16.71170001 16.59899997 16.73269994 16.67580009
 16.65619994 16.63640002 16.77029999 16.60660002 16.63290011 16.62730007
 16.68719994 16.63109986 16.76460006 16.63980004]",3.71904866001569,FALSE,16.6677250005,5.67324775481677,-19.2134375706482,-73.5494470037521,400.644958922439,63.1868658243602,-21.160613215645,1.59926311189744,0.916515359288229,0.0953166615974713,FALSE,499.85836809411,11.9966008342587,8.92834570851365
"2689","P4",2,160,90,NA,"Static","1",59,"nan","nan",-581,435,-696.94035555009,482.152297819211,-703.071808649537,478.972545148709,472.941229863169,-714.701872567502,-708.964498858088,475.916614177179,0,48,"[16.63980004 16.55109995 17.40360004 16.03140007 16.55629999 17.42010005
 16.03449997 16.56370005 17.40629994 15.97770001 16.54769992 17.43110013
 16.01999998 16.58839989 16.73380006 16.92670002 16.4942001  17.94299996
 14.98219999 17.05699996 16.9724999  16.36860007 16.54139999 17.43469993
 16.022      16.57660003 17.39179995 16.01130003 16.47110004 17.31580007
 16.22630004 16.55850001 17.40269992 16.04410005 16.54689992 17.4135
 16.03910001 16.56810008 17.41229999 16.03919989]",3.72036423999816,FALSE,16.666627501,17.7615170174125,9.21106795604146,27.4111154023558,400.158539127163,115.94035555009,-47.1522978192108,3.00388598571826,1.94917632481363,0.202958758240466,FALSE,847.464865045525,20.3391567610926,-4.49403650706424
"2690","P4",2,161,432,NA,"Dynamic","4",60,"nan","nan",-118,-464,-70.4538738893887,-485.884119767679,-75.3590670045435,-481.368225304858,-472.318528269828,-85.1889051364854,-80.2850657160397,-476.833176473369,0,48,"[16.03919989 16.72899979 16.64800011 16.64060005 16.68599993 16.62450004
 16.69949992 16.65190002 16.68220013 16.67769998 16.66219998 16.67109993
 16.64500008 16.70579985 16.65000012 16.63520001 16.67709998 16.70899987
 16.5858001  16.70980011 16.6840998  16.6455002  16.62299992 16.73909998
 16.65350003 16.66149986 16.69610012 16.665      16.64160006 16.63269987
 16.71250002 16.6519999  16.64890023 16.7127999  16.62490005 16.62919996
 16.66249987 16.7384001  16.66570012 16.66849991]",4.08413494029082,FALSE,16.65217749475,14.7350312470966,-13.5655914978518,-42.6337671093641,400.921340239602,-47.5461261106113,21.8841197676794,1.25617678386929,-1.19524602980863,-0.124218675610856,FALSE,490.965504071757,11.7831720977222,5.421374484259
"2691","P4",2,162,510,NA,"Dynamic","4",61,"nan","nan",376,175,240.261378964602,278.583676905488,234.503186804063,280.828907722213,285.909103753331,221.474350417858,227.849873787482,283.42316352363,1,49,"[16.66849991 17.99399988 15.37939999 16.69890014 17.30419998 16.02829993
 16.56379993 17.42470008 15.98599995 16.71519992 19.51260003 17.41980016
 12.9032     18.12479994 15.31569986 16.56870008 17.41810003 16.02809993
 16.59160014 17.40240003 15.74239996 16.98579988 17.40640006 15.48120007
 16.97200001 16.38709987 17.00480003 16.57460001 17.40300003 15.80170006
 16.91739983 18.00710009 15.32400004 16.54869993 17.42599998 15.76410001
 16.90579997 18.0096     15.37530008 16.55930001]",4.59516994003206,TRUE,16.66610749575,18.7870285467439,-7.32542684784295,-21.3017750065774,403.307131363016,135.738621035398,-103.583676905488,4.09792893843057,3.9382762258517,0.406873149476049,FALSE,367.878234284326,8.82907762282382,3.20043665391796
"2692","P4",2,163,800,NA,"Static","1",62,"nan","nan",-250,417,-174.761367724654,380.289364501854,-176.539289889767,374.279681720944,361.279689790891,-180.385245598467,-178.494925966121,367.669295347223,1,50,"[16.55930001 17.35859993 16.07330004 16.5581     17.43420004 16.0054001
 16.23119996 16.95930003 16.51869994 16.97669993 17.35300012 15.95119992
 16.58189995 17.40620006 16.00600011 16.56499994 17.41530001 16.03559987
 16.76220004 18.26220006 15.00710007 16.57689991 17.42430008 15.66789998
 17.02310005 17.99519989 15.29849996 16.57820004 18.3925     14.99289996
 16.56400017 17.43159979 15.74430009 16.9855     17.98580005 15.3216999
 16.57790015 17.38999994 15.71789989 17.02160016]",4.97011863999069,TRUE,16.6677575035,5.62387787381297,19.0096747109632,73.5195210948586,396.456452438073,-75.2386322753459,36.7106354981461,2.00920605865035,0.332594063631769,0.0349548756223653,FALSE,418.523041662243,10.0445529998938,7.22742507431614
"2693","P4",2,164,19,NA,"Dynamic","1",63,"nan","nan",633,274,645.384062311275,276.026463999676,645.638649244139,282.703412141577,296.004946541082,646.145826591213,645.892463477019,289.360094994634,0,50,"[17.02160016 16.65250002 16.62659994 16.68560016 16.65779995 16.70469996
 16.67180005 16.64919988 16.66580001 16.65220014 16.68979996 16.72239997
 16.59890008 16.68849983 16.64280007 16.62330003 16.70809998 16.62579994
 16.69990015 16.68379991 16.67829999 16.67589997 16.67090016 16.61619986
 16.70269994 16.66150009 16.64200006 16.70789998 16.64300007 16.69529988
 16.64689998 16.73660008 16.63529989 16.66860003 16.65239991 16.65810007
 16.62460016 16.67799987 16.70140005 16.6185    ]",3.49931743997149,FALSE,16.67463000575,-0.76176427993812,-19.9784825414067,-92.1835865266628,399.66903823347,-12.3840623112751,-2.02646399967563,0.301170410344042,0.059924267795179,0.00624728025593827,FALSE,701.933897680948,16.8464135443428,-4.10864214782821
"2694","P4",2,165,488,NA,"Static","4",64,"nan","nan",688,345,708.109000103796,370.47749504991,701.245972995776,371.321748909825,372.948183813072,688.024515137646,694.744381398467,372.12154085516,3,53,"[16.6185     17.05759997 16.95670001 16.09379984 16.8281002  16.4816
 16.89909981 16.39770018 17.01249997 16.27189992 16.74810005 16.98040008
 16.28279989 17.03960006 16.93419996 16.41769987 19.00590002 13.97710014
 16.82389993 16.4967     17.04209996 16.26830013 17.08749984 16.95860014
 16.04230003 17.00429991 16.96710009 16.34209999 18.38249993 14.82390007
 16.3892     17.09440001 16.8957999  16.43200009 18.59200001 14.38489999
 16.80679992 16.47150004 17.10340008 16.24489995]",4.10699573997408,TRUE,16.6664374995,20.0844849661503,-2.4706887631616,-7.01299505308311,404.723164928742,-20.1090001037962,-25.4774950499104,0.778974577361153,-0.40434944214933,-0.0416281915216173,FALSE,799.169525424021,19.1800686101765,7.89913632759268
"2695","P4",2,166,715,NA,"Dynamic","4",65,"nan","nan",556,137,407.749773528936,210.81451857416,413.824098171369,210.643914039402,210.25328605216,427.73229359119,420.733933371064,210.449843210315,5,58,"[16.24489995 18.00739998 15.38009988 17.49900007 17.43780007 15.01979982
 17.58130011 18.39559991 13.88510014 17.6126     18.47440004 13.87519995
 17.56459987 18.4225     14.06720001 17.62449997 17.45570009 15.10570012
 17.52719982 18.4202001  13.83189997 17.61989994 17.4602     15.11160005
 17.49700005 17.46429992 15.02209995 17.48730009 17.46449992 15.04680002
 17.49520004 18.43730011 13.95939989 17.6252001  17.43519981 15.09980019
 17.50249998 17.43919984 15.03730007 17.50189997]",4.19466383988038,TRUE,16.67848499525,-19.9825200622541,0.561232521999813,178.391203740612,399.524696062434,148.250226471064,-73.8145185741602,3.97464294917277,-3.60633933243553,-0.3761072602831,FALSE,459.023571349613,11.0165657123907,-8.40051827419435
"2696","P4",2,167,79,NA,"Static","4",66,"nan","nan",-324,171,-241.041041712335,68.797129174966,-239.106775040757,75.4280513661925,87.1773733978735,-235.67945055042,-237.288341221794,81.6618832057325,2,60,"[17.50189997 16.69730013 18.03539996 15.35100001 16.88669994 16.46329998
 16.8802999  16.47040015 18.01049989 15.27750003 16.84359997 16.47699997
 18.93540006 14.30870011 18.12159992 15.24639991 17.50710001 17.43230014
 14.8302     16.8482     16.69940003 17.41999993 16.04850008 17.9973999
 15.28150006 16.22759993 17.15540001 16.98080008 16.34419989 18.01
 15.30560013 16.88349992 16.40169998 16.78729989 16.55250019 19.02360003
 14.19999986 16.41330007 17.08899997 16.97540004]",4.91788381990045,TRUE,16.698037501,-5.36159116191484,-18.3802442229075,-106.262177182362,382.206192185288,-82.9589582876651,102.202870825034,3.15922562750282,-1.79718049775268,-0.195921788476397,FALSE,250.666768384811,6.01600244123547,0.0557186718846815
"2697","P4",2,168,348,NA,"Dynamic","1",67,"nan","nan",636,-262,715.940432941004,-140.187062529735,709.159641764716,-139.069429358548,-136.927642275916,696.165207342222,703.256686580313,-138.09648411505,1,61,"[16.97540004 14.95649992 17.02210004 17.79270009 15.2292999  17.00690016
 18.00179994 14.92079999 17.03249989 18.00550008 14.97490006 17.00520003
 18.0122999  15.00170003 17.01770001 18.01560004 14.9518     16.98930003
 17.9943     15.03310003 17.0516998  17.99340011 14.90579988 17.06390013
 17.99570001 14.96379985 17.12540002 17.9767001  14.91230004 16.92039985
 16.3418001  16.7739999  17.23150001 20.79520002 11.85450004 16.96519996
 18.12190004 15.00970009 16.97109989 17.99700013]",4.61872954014689,TRUE,16.67276000375,19.7752255987824,-3.25942025381889,-9.35953550040723,400.694306326986,-79.9404329410041,-121.812937470265,3.49683084850605,-1.41758089242445,-0.147408809122146,FALSE,729.536233521316,17.5088696045116,9.59567827459332
