"","participant","protocol","trial","trajectory_id","practice_trials.thisN","noise_present","no_targets","trials.thisN","mouse.x.firstBadClick","mouse.y.firstBadClick","mouse.x","mouse.y","obj0finalX","obj0finalY","obj0penultimateX","obj0penultimateY","obj0preantepenultimateY","obj0preantepenultimateX","obj0antepenultimateX","obj0antepenultimateY","timingHiccupsInLastFramesOfStimuli","win.nDroppedFrames","finalStimFrameTimes","line_orientation","RT","anyHiccupsLastFrames","avgDurLastFrames","dx","dy","finalDirection","finalSpeed","xErr","yErr","euclidean_dist","amountExtrapolation","temporal_error","isOutlier","eccentricity","eccentricity_deg","velocityToFovea"
"11","P4",9,911,730,NA,"Static","1",10,"nan","nan",74,-205,127.485530594143,-209.182514108225,130.578960594568,-200.118257252493,-185.430319436877,135.59162828552,132.465599240276,-194.59009683629,12,140,"[19.72497092 17.76818209 19.70763691 18.61314406 19.29801702 22.95705001
 18.12408003 20.26752685 17.27920398 16.39792486 17.75402506 19.32097808
 18.37450592 16.78928011 18.70913384 16.69557602 19.11679003 19.64578615
 15.92134591 26.47303999 26.23316296 28.10232807 26.11027099 25.46972106
 17.74184895 25.77199694 18.28125399 16.66167495 17.302091   15.66318399
 18.92437204 20.21426312 17.576518   25.01325496 19.38317507 18.44361681
 22.68676017 16.20740583 23.72603002 17.92305219]","Upper/Lower",4.36379222036339,TRUE,19.90935447375,-8.10609769137665,-23.752194671348,-108.843635859256,420.193131348016,-53.485530594143,4.18251410822515,1.28757157259263,0.319602271616977,0.0316920014248037,FALSE,244.96915054657,5.87925961311768,6.1445762669122
"12","P4",9,912,980,NA,"Static","2",11,"nan","nan",-320,-162,-393.743351119935,-108.825160721504,-400.479826499141,-111.925779070381,-117.326534715498,-412.213633546251,-406.338430030783,-114.622336630002,4,143,"[16.20740583 23.72603002 17.92305219 16.17485192 16.88391506 15.17359912
 16.59168792 16.39820007 17.26268488 19.457157   16.25647396 16.41127118
 16.836141   16.63376694 15.26393997 17.42145605 16.3636019  16.74549305
 17.924377   19.03592004 17.81766186 20.53030906 17.0487971  19.06413492
 20.0751489  17.23759016 21.09881002 17.70709781 16.37911703 18.5535911
 16.98185992 17.22715213 18.26431393 16.53498807 17.71408087 17.45361416
 15.98981279 16.4005491  18.43952108 16.49542991]","Upper/Lower",3.58336713700555,TRUE,17.5426151255,18.4702824263165,8.50137399399432,24.7153432108461,386.351511890353,73.7433511199349,-53.1748392784959,2.18197427372884,1.07412558408373,0.115840707989405,FALSE,408.505498319444,9.80413195966666,-9.47475303424119
"13","P4",9,913,959,NA,"Dynamic","2",12,"nan","nan",213,-269,239.79670464301,-266.673416358964,241.979029162533,-259.74471492872,-245.370684236419,246.506399830758,244.309808614276,-252.344681259845,2,145,"[16.4005491  18.43952108 16.49542991 17.34373206 16.35682792 17.65133021
 15.97671886 16.43000799 16.39531413 16.73179399 15.49196988 17.87622203
 16.3564519  15.54472512 16.47497993 16.09327598 17.4027821  19.44322698
 16.54072199 16.0081631  15.92022483 15.80727799 15.7551032  20.34453978
 17.79136015 17.55736792 18.52076803 16.99114311 17.78905583 20.69839602
 16.86804299 18.89292314 18.3267449  16.6414089  19.46999901 19.81499908
 18.47320003 19.37313308 17.14640483 19.50319204]","Upper/Lower",4.87044080230407,TRUE,17.428475728,-6.70969518774862,-21.302732122545,-107.482799123973,427.163421774354,-26.7967046430098,-2.32658364103577,0.645540385870738,0.246464735102047,0.024040831773302,FALSE,358.632361270157,8.60717667048377,4.88028475741941
"14","P4",9,914,534,NA,"Static","1",13,"nan","nan",7,-248,66.6445702579257,-229.794175143065,58.0419534892766,-222.586257739595,-213.685652392229,47.4191213275883,52.6939925647816,-218.105335055554,6,151,"[19.81499908 18.47320003 19.37313308 17.14640483 19.50319204 18.3967941
 17.0366969  17.27851015 19.25840904 17.86267082 20.33990109 19.65596806
 15.51017887 18.82455708 18.20243988 26.21166222 13.25353491 17.55215507
 17.41700782 18.99916702 16.38226304 21.04309201 16.58375491 16.82154601
 19.40293401 18.6339051  16.23107609 20.86519683 16.54153503 19.60395207
 19.65666306 16.59595082 18.78905017 20.56069789 17.41949609 18.58919999
 17.35383389 17.33339415 28.43248681 12.6675521 ]","Upper/Lower",4.43968335329555,TRUE,18.490454054,19.2254489303375,-16.1085227508365,-39.9587994720787,452.159684948967,-59.6445702579257,-18.2058248569346,1.4966702536982,-0.81661204118439,-0.0752510735667567,FALSE,239.263164056955,5.74231593736692,7.97110135185228
"15","P4",9,915,189,NA,"Dynamic","1",14,"nan","nan",301,-195,352.160557319294,-194.079862715655,356.174633933185,-196.279608877101,-202.605488864327,367.720658910591,362.065718345107,-199.507238564146,2,152,"[28.43248681 12.6675521  17.3309911  17.98015088 16.08902914 16.70658891
 16.09882596 15.53332503 16.204844   17.70435204 14.38678592 18.61654501
 17.54128002 16.29695296 19.53922119 18.12970499 15.52460599 16.65652799
 16.49475098 15.36618895 16.42951509 26.72856883 15.33792703 16.88796305
 15.44582797 17.07564201 16.8577251  15.79139498 17.16417586 17.55883615
 15.8190059  16.8640241  16.95413585 16.77065296 17.64589618 16.79420285
 16.03254606 16.87937207 16.80328697 15.49018687]","Left/Right",5.43592325574718,TRUE,17.11578989625,-15.5601015912965,8.52562614867205,151.280967178075,345.542342502858,-51.1605573192942,-0.92013728434469,1.22805194679927,1.06619959647613,0.128565960584521,FALSE,402.099553895753,9.65038929349807,-9.59997107568793
"16","P4",9,916,463,NA,"Dynamic","2",15,"nan","nan",-611,-312,-611.182084735627,-295.08295288576,-609.250556924775,-296.828526705018,-300.209312498545,-592.253588738434,-603.335295564489,-298.005103101032,4,156,"[16.03254606 16.87937207 16.80328697 15.49018687 15.72650601 16.63843519
 16.12067595 15.11056395 18.62931391 17.33422396 16.79007616 17.14208699
 16.12897287 16.67140611 18.40476505 17.41660899 16.06258587 18.31571618
 18.75078795 19.66791996 20.50181502 17.60282507 19.59137782 18.40019203
 18.41310202 19.1634791  17.49896887 18.95706216 19.2973509  17.45746005
 18.33117893 20.61665407 18.16738397 18.06839998 18.96093599 17.51628192
 28.32934214 14.668972   22.01765007 18.98433082]","Left/Right",5.16951401345432,TRUE,18.06652,-18.9284959971936,5.12635961278539,164.846236670996,361.818310969323,0.182084735627313,-16.9170471142405,0.406032648243753,-0.110353063639333,-0.0127081581526022,FALSE,678.688065156274,16.2885135637506,7.25341314082991
"17","P4",9,917,151,NA,"Dynamic","2",16,"nan","nan",-314,-99,-279.544080644496,-186.715177843484,-279.75769987013,-180.088661332346,-167.518578013801,-280.16292204986,-279.969183609914,-173.528388073438,3,158,"[22.01765007 18.98433082 18.50011991 19.15383502 16.10636013 16.15663478
 17.07036421 15.59055597 16.41046698 26.27116488 12.77940697 17.09773298
 16.02516207 15.93053015 16.47390798 16.12839592 17.28272391 16.96898299
 15.59075317 15.75526898 16.99275593 17.21374108 20.17650101 17.39629498
 19.55570304 16.76039398 18.20834191 14.93092813 18.70207791 16.86688
 18.59178394 18.5722101  16.18976193 15.43341391 18.08625506 17.81266206
 15.45174094 16.40517893 16.32430218 15.11829882]","Left/Right",4.70277615217492,TRUE,17.27708934325,0.618841405364151,-19.1965998296829,-88.1535935495049,370.559563266262,-34.4559193555038,87.7151778434843,2.26175811579893,-2.13071556587366,-0.239583117116704,FALSE,336.165808285882,8.06797939886118,5.07210392372276
"18","P4",9,918,312,NA,"Static","2",17,"nan","nan",380,26,416.638462754737,29.475185063863,411.629673775147,31.9318155149551,39.6091378556671,395.976490156982,402.686175722151,36.3182789387087,9,167,"[18.08625506 17.81266206 15.45174094 16.40517893 16.32430218 15.11829882
 19.18849489 23.33506197 17.64313807 22.56363211 22.226003   21.71618701
 22.31370797 16.17205399 19.01071798 19.60468688 18.11222802 19.82016512
 17.03443285 19.98897013 27.12057205 16.78469102 16.08636882 20.0204812
 16.27169992 17.75595197 18.83842307 18.14003382 17.71240705 16.48510504
 19.22998112 18.58483185 19.72441096 18.22328917 17.28683291 19.99746799
 18.46354199 25.54711909 13.35931104 18.8001669 ]","Left/Right",4.90471280948259,TRUE,18.809015124,20.6619725977556,-10.1339527918041,-26.1262859674643,407.842484240343,-36.6384627547373,-3.47518506386302,0.883269735592033,-0.752751598000242,-0.0769038320642277,FALSE,417.679775882409,10.0243146211778,8.29931723348079
"19","P4",9,919,548,NA,"Static","2",18,"nan","nan",371,-319,467.878159231645,-375.810191570374,462.00091926161,-371.55796736552,-362.52922936602,449.521788977495,455.955554631954,-367.184103794107,9,174,"[17.28683291 19.99746799 18.46354199 25.54711909 13.35931104 18.8001669
 18.2195059  20.30496602 17.50252605 21.7985909  17.88769709 16.95236308
 19.38082092 17.38534914 20.60751989 19.83538107 16.21437701 19.53664282
 20.35940113 16.28054306 21.44741081 17.56653399 20.28970118 17.50200591
 16.73019608 19.94310203 18.31654692 17.75762602 18.97573401 16.14047284
 18.04007823 21.87273488 17.463319   18.68197392 17.27692899 17.42642513
 19.64368299 18.84221192 18.10418302 18.82085996]","Upper/Lower",3.72337518306449,TRUE,18.66404629575,18.3563702541501,-13.2809622043537,-35.8860012050719,404.646339777519,-96.878159231645,56.8101915703735,2.69535874179444,-2.68295763361045,-0.276265692806957,FALSE,600.119381435189,14.4028651544445,9.58782246942916
"20","P4",9,920,137,NA,"Dynamic","1",19,"nan","nan",166,168,175.366452785582,172.985358698873,176.29668198007,179.80983376809,193.276111008548,178.13224062789,177.163566933824,186.169594125901,1,175,"[18.82085996 17.84733101 15.86042694 17.08900905 15.77665308 16.590107
 16.63441909 16.12121379 17.24407007 16.89001196 15.88191115 16.97488385
 16.49206295 16.45132317 17.37577887 17.66015915 16.14930201 16.97600284
 16.50690101 16.44166606 15.71521303 17.96812005 15.67424391 25.89237294
 12.41986896 16.38094313 15.93045099 17.11338107 16.85396    16.27062098
 17.72616804 16.78450895 16.04941697 16.44383906 16.67615701 15.99047286
 17.96099008 16.15208504 17.19089597 17.47100591]","Left/Right",5.22720030834898,TRUE,16.861220199,-2.76578784230739,-20.2907523096753,-97.7620253060012,404.841875198497,-9.3664527855824,-4.9853586988732,0.254653729101306,0.148912882628067,0.0153262392626601,FALSE,246.327682339553,5.91186437614927,-7.60295319702161
